Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,1291.800049,1309.099976,1266.000000,1282.800049,1282.800049,8112
2019-05-01,1278.699951,1311.900024,1266.599976,1310.199951,1310.199951,2185339876
2019-06-01,1312.500000,1442.900024,1307.000000,1409.699951,1409.699951,3590065671
2019-07-01,1386.599976,1444.199951,1382.800049,1426.099976,1426.099976,299113
2019-08-01,1411.300049,1549.300049,1400.900024,1519.099976,1519.099976,20160
2019-09-01,1535.199951,1566.199951,1463.500000,1465.699951,1465.699951,4181272874
2019-10-01,1468.699951,1518.199951,1458.300049,1511.400024,1511.400024,6101
2019-11-01,1511.000000,1511.599976,1447.099976,1465.599976,1465.599976,436891
2019-12-01,1470.300049,1529.000000,0.000000,1520.000000,1520.000000,2304685852
2020-01-01,1521.000000,1604.199951,1518.000000,1582.900024,1582.900024,50730435
2020-02-01,1597.800049,1686.599976,1547.699951,1642.500000,1642.500000,44301557
2020-03-01,0.000000,1704.300049,0.000000,1623.900024,1623.900024,198851585
2020-03-24,1563.800049,1698.000000,1560.500000,1672.300049,1672.300049,201194
